order,date,author,title,published,pages,favorite,
630.,Oct 1993,Alan Lightman,Einstein's Dreams,1993,179 pp.,,
631.,Nov 1993,Jules Michelet,Joan of Arc,1841,143 pp.,,
632.,Nov 1993,Plato,Early Socratic Dialogues,427-327b.c.,375 pp.,,
633.,Dec 1993,Erich Fromm,Escape from Freedom,1941,303 pp.,,
634.,Dec 1993,V.S. Pritchett,The Offensive Traveller,1964,241 pp.,,
635.,Dec 1993,Peter B. High,An Outline of American Literature,1986,241 pp.,,
636.,Dec 1993,Susan Sontag,AIDS and Its Metaphors,1988,95 pp.,,
637.,Dec 1993,Françoise Sagan,Bonjour Tristesse,1954,108 pp.,,
638.,Dec 1993,Sherwood Anderson,"Winesburg, Ohio",1919,247 pp.,,
639.,Dec 1993,Flannery O'Connor,Mystery and Manners,1957-69,228 pp.,,
640.,Dec 1993,Henry James,The Turn of the Screw,1898,160 pp.,,
641.,Dec 1993,Thornton Wilder,The Cabala,1926,230 pp.,,
642.,Dec 1993,Donald Matthew,Atlas of Medieval Europe,1983,225 pp.,,
643.,Jan 1994,Jane Smiley,A Thousand Acres,1991,371 pp.,,
644.,Feb 1994,Patrick Moore,Basic Astronomy,1967,134 pp.,,
645.,Feb 1994,Henry Adams,Mont Saint Michael and Chartres,1904,359 pp.,,
646.,Mar 1994,Emile Zola,Germinal,1885,538 pp.,,
647.,Mar 1994,Charles Baudelaire,The Prose Poems and La Fanfarlo,1847-65,116 pp.,,
648.,Apr 1994,Charles Dickens,The Old Curiosity Shop,1841,720 pp.,,
649.,Apr 1994,Carrie Fisher,Delusions of Grandma,1994,260 pp.,,
650.,Apr 1994,Laurence Sterne,A Sentimental Journey,1768,120 pp.,,
651.,May 1994,Franz Kafka,The Trial ,1920,256 pp.,true,
652.,May 1994,Thomas DeQuincy,Confessions of an English Opium Eater,1822,116 pp.,,
653.,May 1994,Natalie Goldberg,Writing Down the Bones,1986,170 pp.,,
654.,May 1994,Daniel Defoe,A Journal of the Plague Year ,1725,256 pp.,true,
655.,May 1994,Jean Rhys,After Leaving Mr. Mackenzie ,1931,191 pp.,true,
656.,Jun 1994,Marcel Proust,The Sweet Cheat Gone,1922,196 pp.,,
657.,Jun 1994,Dorothy Whitelock,The Beginnings of English Society,1952,243 pp.,,
658.,Jul 1994,David Rabe,Hurlyburly,1985,160 pp.,,
659.,Aug 1994,Henry Kissinger,Diplomacy ,1994,835 pp.,true,
660.,Sep 1994,Bruce Chatwin,The Songlines,1987,294 pp.,,
661.,Sep 1994,Gary Zukav,The Seat of the Soul,1989,248 pp.,,
662.,Oct 1994,Ernest Becker,The Denial of Death,1973,285 pp.,,
663.,Oct 1994,Laurence Sterne,The Life and Opinions of Tristam Shandy,1761-67,539 pp.,,
664.,Oct 1994,Sinclair Lewis,Babbitt,1922,334 pp.,,
665.,Dec 1994,John King Fairbank,China - A New History,1992,432 pp.,,
666.,Dec 1994,Toni Morrison,Beloved,1987,275 pp.,,
667.,Dec 1994,Franz Kafka,Amerika,1927,312 pp.,,
668.,Dec 1994,Arnold Toynbee & Daisaku Ikeda,Choose Life,1976,359 pp.,,
669.,Dec 1994,Sherwin B. Nuland,How We Die,1994,269 pp.,,
670.,Dec 1994,H.B. Acton,Kant's Moral Philosophy,1970,65 pp.,,
671.,Dec 1994,Jack London,The Call of the Wild,1903,89 pp.,,
672,Dec 1994,Gustav Janouch,Conversations with Kafka ,1923,201 pp.,true,
673.,Jan 1995,Samuel Butler,The Way of All Flesh ,1903,444 pp.,true,
674.,Feb 1995,Meriwether Lewis and William Clark,The Journals of Lewis and Clark,1804-6,515 pp.,,
675.,Feb 1995,Peter Kwong,The New Chinatown,1987,187 pp.,,
676.,Feb 1995,Fyodor Dostoyevsky,The Devils,1871,704 pp.,,
677.,Mar 1995,Selma H. Fraiberg,The Magic Years,1959,151 pp.,,
678.,Mar 1995,Sol M. Linowitz,The Making of a Public Man,1985,247 pp.,,
679.,Apr 1995,Stendhal,The Red and the Black ,1830,574 pp.,true,
680.,Apr 1995,J.H. Plumb,England in the Eighteenth Century,1950,214 pp.,,
681.,Apr 1995,P.D. Ouspensky,The Psychology of Man's Possible Evolution,1934,128 pp.,,
682.,Jul 1995,Carson McCullers,The Heart is a Lonely Hunter,1940,307 pp.,,
683.,Jul 1995,Joyce Carol Oates,Black Water,1992,154 pp.,,
684.,Jul 1995,"editor, Eric L. McKitrick",Slavery Defended,1830-57,177 pp.,,
685.,Jul 1995,"Don, Jeanne Elium",Raising a Son,1992,172 pp.,,
686.,Aug 1995,Patrick O'Brian,Master and Commander,1970,412 pp.,,
687.,Sep 1995,Russell Banks,Continental Drift,1985,366 pp.,,
688.,Sep 1995,,The Bhagavad Gita,c.500b.c.,122 pp.,,
689.,Oct 1995,Thomas More,Utopia,1516,147 pp.,,
690.,Nov 1995,E.L. Doctorow,Ragtime,1975,371 pp.,,
691.,Nov 1995,Martin Heidegger,Early Greek Thinking,1950,58 pp.,,
692.,Nov 1995,Alice Miller,The Drama of the Gifted Child,19791,136 pp.,,
693.,Dec 1995,Daniel Goleman,Emotional Intelligence,1995,292 pp.,,
694.,Dec 1995,Benedict de Spinoza,The Ethics,1663,290 pp.,,
695.,Dec 1995,Betty Radice,Who's Who in the Ancient World,1971,161 pp.,,
696.,Dec 1995,Alexander Hamilton and James Madison,The Federalist Papers,1788,487 pp.,,
697.,Jan 1996,Nathan Glazer and Daniel P. Moynihan,Beyond the Melting Pot,1963,408 pp.,,
698.,Jan 1996,Louise Ames,Your Five-Year Old,19791,109 pp.,,
699.,Jan 1996,Daniel Defoe,Robinson Crusoe,1719,314 pp.,,
700.,Feb 1996,Abul A'La Mawdudi,Towards Understanding Islam,1986,132 pp.,,
701.,Feb 1996,Stephen Crane,The Red Badge of Courage,1895,169 pp.,,
702.,Feb 1996,various,Latin Literature - an Anthology,220b.c.-400a.d.,456 pp.,,
703.,Feb 1996,James Boswell,The Life of Samuel Johnson,1791,342 pp.,,
704.,Mar 1996,Robert D. Kaplan,Balkan Ghosts ,1993,300 pp.,true,
705.,Mar 1996,anonymous,Primary Colors,1996,366 pp.,,
706.,Mar 1996,William Shakespeare,"Henry IV, Part One",1597,115 pp.,,
707.,Mar 1996,Russell Baker,Growing Up,1982,348 pp.,,
708.,Mar 1996,Gustave Flaubert,Flaubert in Egypt ,1850,222 pp.,true,
709.,Apr 1996,"Robin, Liza, Linda, Tiffany",You'll Never Make Love in this Town Again,1996,251 pp.,,
710.,Apr 1996,Robert Graves,"I, Claudius",1934,468 pp.,,
711.,Apr 1996,Stephen Birmingham,Our Crowd,1967,446 pp.,,
712.,Jun 1996,Peter I. Pressman and Yahsar Hirshaut,Breast Cancer,1992,265 pp.,,
713.,Jul 1996,Lester C. Thurow,The Future of Capitalism,1996,327 pp.,,
714.,Jul 1996,Honoré de Balzac,A Murky Business,1841,223 pp.,,
715.,Jul 1996,Blaise Pascal,Pensées,1661,204 pp.,,
716.,Aug 1996,Deepak Chopra,Quantum Healing,1989,273 pp.,,
717.,Aug 1996,Maxim Gorky,My Childhood,1913,451 pp.,,
718.,Aug 1996,Paul Theroux,Riding the Iron Rooster,1988,188 pp.,,
719.,Aug 1996,René Descartes,Discourse on Method and The Meditations,1637,188 pp.,,
720.,Aug. 1996,Deborah Tannen,You Just Don't Understand,1990,298 pp.,,
721.,Sep 1996,Pliny the Elder,Natural History,76a.d.,385 pp.,,
722.,Sep 1996,James Clavell,Shogun,1975,1152 pp.,,
723.,Oct 1996,Xenophon,Conversations with Socrates,c.401b.c.,359 pp.,,
724.,Dec 1996,Michael Herr,Dispatches,1978,278 pp.,,
725.,Dec 1996,H.G. Wells,The Invisible Man,1897,139 pp.,,
726.,Jan 1997,David Baldacci,Absolute Power,1996,505 pp.,,
727.,Mar 1997,Simone DeBeauvoir,The Second Sex,1952,732 pp.,,
728.,Apr 1997,"Henry Fielding, Daniel Defoe",Jonathan Wild,1743,290 pp.,,
729.,Apr 1997,Mary Karr,The Liars' Club,1995,320 pp.,,
730.,Apr 1997,Robin Dunbar,"Grooming, Gossip, and the Evolution of Language",1996,230 pp.,,
731.,May 1997,G.K. Chesterton,The Club of Queer Trades,1905,126 pp.,,
732.,May 1997,Bryce Lyon,The Origins of the Middle Ages,1972,87 pp.,,
733.,May 1997,Antoine de Saint Exupery,Night Flight,1932,87 pp.,,
734.,Jun 1997,Charles and Mary Lamb,Tales from Shakespeare ,1807,313 pp.,true,
735.,Jun 1997,Sir Thomas Malory,"Le Morte D'Arthur, vol. 1 book I-VII",1485,327 pp.,,
736.,Jun 1997,Alcoholics Anonymous,Twelve Steps and Twelve Traditions,1952,192 pp.,,
737.,Jul 1997,Don DeLillo,Mao II,1991,241 pp.,,
738.,Jul 1997,Jules Verne,Around the World in Eighty Days,1873,163 pp.,,
740.,Aug 1997,Daniel Johan Goldhagen,Hitler's Willing Executioners,1996,466 pp.,,
739.,Jul 1997,Peter Gay,The Enlightenment - The Science of Freedom,1969,568 pp.,,
741.,Aug 1997,Harry Crews,A Feast of Snakes,1976,177 pp.,,
742.,Sep 1997,Jean-Jacques Rousseau,Émile,1760,568 pp.,,
743.,Sep 1997,Hermann Hesse,Narcissus and Goldmund,1930,312 pp.,,
744.,Oct 1997,"Aristotle, Horace",Classical Literary Criticism,"330b.c., 10b.c.",80 pp.,,
745.,Oct 1997,Ernest Hemingway,"Fiesta, The Sun Also Rises",1927,206 pp.,,
746.,Oct 1997,Keith B. Richburg,Cut of America ,1997,254 pp.,true,
747.,Nov 1997,Lincoln Steffens,The Shame of the Cities,1904,222 pp.,,
748.,Nov 1997,Choderlos DeLaclos,Les Liaisons Dangereuses,1782,412 pp.,,
749.,Dec 1997,Jonathan Harr,A Civil Action,1995,496 pp.,,
750.,Dec 1997,Harper Lee,To Kill a Mockingbird,1960,281 pp.,,
751.,Dec 1997,David Denby,Great Books ,1996,463 pp.,true,
752.,Jan 1998,Garrison Keillor,Lake Wobegon Days,1985,341 pp.,,
753.,Jan 1998,Barry Miles,Paul McCartney - Many Years from Now,1997,617 pp.,,
754.,Jan 1998,Horace,Satires and Epistles,c.40-18b.c.,179 pp.,,
755.,Mar 1998,E. Annie Proulx,The Shipping News,1993,337 pp.,,
756.,Mar 1998,Allan Bloom,The Closing of the American Mind,1987,382 pp.,,
757.,Mar 1998,Niccolò Machiavelli,The Prince,1514,96 pp.,,
758.,Apr 1998,Alexis De Tocqueville,Democracy in America,1835,317 pp.,,
759.,Apr 1998,Frank McCourt,Angela's Ashes,1996,426 pp.,,
760.,Apr 1998,Susanna Moore,my old sweetheart,1982,211 pp.,,
761.,Ap. 1998,Robert Hughes,Culture of Complaint,1993,204 pp.,,
762.,May 1998,Patrick Suskind,Perfume ,1985,263 pp.,true,
763.,May 1998,Victoria Kingston,Simon and Garfunkel - The Definitive Biography,1996,287 pp.,,
764.,May 1998,John Locke,The Second Treatise of Government,1690,155 pp.,,
765.,May 1998,Plato,Phaedrus,375b.c.,48 pp.,,
766.,Jun 1998,Charles Dickens,Barnaby Rudge,1841,766 pp.,,
767.,Jun 1998,Philip Roth,Zuckerman Unbound,1981,156 pp.,,
768.,Jun 1998,Jeffrey Archer,A Twist in the Tale - 4 short stories,1988,113 pp.,,
769.,Jul 1998,S.T. Bindoff,Tudor England,1950,309 pp.,,
770.,Jul 1998,John O'Hara,Appointment in Samarra,1934,240 pp.,,
771.,Aug.1998,Ralph Ellison,Invisible Man ,1952,469 pp.,true,
772.,Aug 1998,A.S. Byatt,The Matisse Stories,1993,128 pp.,,
773.,Sep 1998,Giovanni Boccaccio,The Decameron,1350,296 pp.,,
774.,Sep 1998,Edward W. Said,Representations of the Intellectual,1993,132 pp.,,
775.,Sep 1998,Robert Graves,The Greek Myths: 1,1955,197 pp.,,
776.,Sep t998,Peter and Linda Murray,The Art of the Renaissance,1963,278 pp.,,
777.,Sep 1998,Emmanuel Le Roy Ladurie,The Beggar and the Professor,1995,351 pp.,,
778.,Oct 1998,Richard Causton,The Buddha in Daily Life,1988,294 pp.,,
779.,Oct 1998,Mitch Albom,Tuesday with Morrie,1997,192 pp.,,
780.,Nov 1998,D.H. Lawrence,Sons and Lovers ,1913,484 pp.,true,
781.,Nov 1998,Alessandro Baricco,Silk,1997,91 pp.,,
782.,Nov 1998,Morris Goldstein,"The Asian Financial Crisis: Causes, Cures, and Systemic Implications",1998,67 pp.,,
783.,Nov 1998,Jimmy Webb,Tunesmith,1998,423 pp.,,
784.,Dec 1998,Henry James,The Golden Bowl,1904,555 pp.,,
785.,Jan 1999,Jean Rhys,Quartet,1928,186 pp.,,
786.,Jan 1999,Edward W. Said,Covering Islam,"1981,1996",195 pp.,,
787.,Jan 1999,Jorge Luis Borges,Other Inquisitions,1937-1952,187 pp.,,
788.,Jan 1999,Bill Gates,The Road Ahead,1996,322 pp.,,
789.,Feb.1999,Arthur Golden,Memoirs of a Geisha ,1997,428 pp.,true,
790.,Mar 1999,Frank R. Wilson,The Hand,1998,338 pp.,,
791.,Apr 1999,Daniel DeFoe,A Tour Through the Whole Island of Great Britain,1724,708 pp.,,
792.,Apr 1999,Russell Banks,Cloudsplitter ,1998,758 pp.,true,
793.,May 1999,Robert Wright,The Moral Animal,1994,379 pp.,,
794.,May 1999,P.G. Wodehouse,French Leave,1956,206 pp.,,
795.,Jun 1999,Marcel Proust,The Past Recaptured,1922,272 pp.,,
796.,Jun  1999,John Hersey,Hiroshima,1946,152 pp.,,
797.,Jun 1999,John Stuart Mill,On Liberty,1859,187 pp.,,
798.,Jul 1999,Philip Roth,American Pastoral,1997,423 pp.,,
799.,Jul 1999,Dante Alighieri,Paridiso,1308,150 pp.,,
800.,Jul 1999,Jacob A. Riis,How The Other Half Lives,1890,227 pp.,,
801.,Aug 1999,Colin Bateman,Cycle of Violence,1995,261 pp.,,
802.,Aug 1999,Fernand Braudel,The Identity of France,1985,375 pp.,,
803.,Sep 1999,Sinclair Lewis,It Can't Happen Here,1935,331 pp.,,
804.,Sep 1999,Jason Goodwin,Lords of the Horizons - A History of the Ottoman Empire,1998,332 pp.,,
805.,Sep 1999,Marilyn Vos Savant,The World's Most Famous Math Problem,1993,76 pp.,,
806.,Sep 1999,Fred Goodman,The Mansion on the Hill,1997,387 pp.,,
807.,Oct 1999,Daisaku Ikeda,Toward a Culture of Peace: A Cosmic View,1999,38 pp.,,
808.,Oct 1999,"Dan Kindlon, Michael Thompson",Raising Cain ,1999,267 pp.,true,
809.,Nov 1999,Dava Sobol,Longitude,1995,175 pp.,,
810.,Nov 1999,Søren Kierkegaard,Fear and Trembling,1843,147 pp.,,
811.,Dec 1999,Sophocles,Antigone,441bc,48 pp.,,
812.,Dec 1999,Bernie Brillstein,Where Did I Go Right?,1999,375 pp.,,
813.,Dec 1999,Richard Dawkins,The Selfish Gene,1976,266 pp.,,
814.,Jan 2000,A.J.P. Taylor,The Struggle for Mastery in Europe - 1848 - 1918,1954,586 pp.,,
815.,Jan 2000,Alfred Lansing,Endurance - Shackleton's Incredible Voyage,1959,280 pp.,,
816.,Feb 2000,Euripides,Andromache,425bc,47 pp.,,
817.,Mar 2000,Samuel Butler,Erewhon,1871,260 pp.,,
818.,Mar 2000,George Stephanopoulos,All Too Human,1999,448 pp.,,
819.,Apr 2000,Henry Fielding,Tom Jones,1749,822 pp.,,
820.,Apr 2000,John Rechy,City of Night,1963,380 pp.,,
821.,May 2000,Peter Gay,My German Question,1998,212 pp.,,
822.,May 2000,Zora Neale Hurston,Their Eyes Were Watching God ,1937,199 pp.,true,
823.,May 2000,Mark Twain,The Mysterious Stranger,1906,114 pp.,,
824.,May 2000,Jhumpa Lahiri,Interpreter of Maladies,1999,198 pp.,,
825.,Jun 2000,John Steinbeck,The Grapes of Wrath,1939,,,
826.,Jun 2000,Michael Lewis,The New New Thing,2000,,,
827.,Aug 2000,Jacques Barzun,From Dawn to Decadence ,2000,,true,
828.,Aug 2000,Samuel Butler,Alps & Sanctuaries,1881,,,
829.,Aug 2000,Alexander Dumas,The Three Musketeers,1844,,,
830.,Sep 2000,Samuel Eliot Morison,"Christopher Columbus, Mariner",1942,,,
831.,Sep 2000,Madame de Lafayette,The Princess of Cleves,1677,,,
832.,Oct 2000,Tom Wolfe,A Man in Full,1998,,,
833.,Oct 2000,John Milton,Samson Agonistes ,1671,,,
834.,Oct 2000,George Kubler,The Shape of Time,1962,,,
835.,Nov 2000,Jakob Walter,The Diary of a Napoleonic Foot Soldier ,c. 1830,,true,
836.,Nov 2000,Stendhal,Love,1819,,,
837.,Dec 2000,Sir Harold Nicolson,Diplomacy,1939,,,
838.,Dec 2000,William Hazlitt,Liber Amoris ,1823,,,
839.,Dec 2000,Ida M. Tarbell,The History of the Standard Oil Company,1903,,,
840.,Jan 2001,Adolph Hitler,Mein Kampf ,1926,,,
841.,Jan 2001,Honore de Balzac,The Physiology of Marriage,1824,,,
842.,Jan 2001,Saul Bellow,Henderson the Rain King,1958,,,
843.,Jan 2001,Dorothy L. Sayers,The Mind of the Maker,1941,,,
844.,Feb 2001,Christine Hobson,The World of the Pharoahs,1987,,,
845.,Mar 2001,"Horatio Alger, Jr.",Ragged Dick ,1868,,,
846.,Mar 2001,Henry Kissinger,A World Restored,,,,
847.,Apr 2001,Honore de Balzac,The Chouans ,1827,,,
848.,Apr 2001,Tom King,The Operator ,,,,
849.,May 2001,Lord Byron,The Selected Letters of Lord Byron,1798,,,
850.,Jun 2001,Jean-Jacques Rousseau,La Nouvelle Heloise,1758,,,
851.,Jun 2001,Walter Bagehot,Physics and Politics,1872,,,
852.,Jul 2001,Dan O'Brien,The Rites of Autumn,1988,,,
853.,Aug 2001,"Michael E. Porter, Hirotaka Takeuchi, Mariko Sakakibara",Can Japan Compete?,2000,,,
854.,Aug 2001,Sarah Faunce,Courbet,1993,,,
855.,Sep 2001,Virginia Woolf,The Waves ,1931,,,
856.,Oct 2001,Peter Paret,Understanding War ,1992,,,
857.,Oct 2001,P. G. Wodehouse,Jeeves in the Morning,1946,,,
858.,Nov 2001,Theodore Dreiser,Sister Carrie ,1900,,,
859.,Dec 2001,Benjamin R. Barber,Jihad vs. McWorld,1995,,,
860.,Dec 2001,J.K. Rowling,Harry Potter and the Sorcerer's Stone,1997,,,
861.,Dec 2001,Stephen Hawking,The Universe in a Nutshell,2001,,,
862.,Dec 2001,Artie Shaw,The Trouble with Cinderella,1952,,,
864.,Jan 2002,Paramahansa Yogananda,Autobiography of a Yogi,1946,,,
865.,Feb 2002,Bernard Lewis,What Went Wrong?,2002,,,
866.,Mar 2002,Elizabeth Gaskell,Wives and Daughters ,1866,,true,
867.,Apr 2002,Upton Sinclair,The Jungle ,1905,,,
868.,Apr 2002,"Eugene F. Rice, Jr.","The Foundations of Early Modern Europe, 1460-1569",,,,
869.,Apr 2002,Margaret A. Salinger,Dream Catcher ,2000,,,
870.,Jun 2002,Henry David Thoreau,Selected Journals of Henry David Thoreau,1837 - 1862,,,
871.,Aug 2002,Jean Rhys,Sleep It Off Lady,1976,,,
872.,Aug 2002,Plutarch,Fall of the Roman Republic,90A.D.,,,
873.,Sep 2002,C.S. Forester,Hornblower and Hotspur,1962,,,
874.,Sep 2002,W.H. Lewis,The Splendid Century,1953,,,
875.,Sep 2002,Robert Hughes,The Fatal Shore,1986,,,
876.,Sep 2002,Noam Chomsky,Profit Over People,1999,,,
877.,Oct 2002,Henry George,Progress and Poverty,1879,,,
878.,Oct 2002,"David Krieger, Daisaku Ikeda",Choose Hope ,2001,,,
879,Nov 2002,Malcolm Lowry,Under the Volcano,1947,,,
880.,Dec 2002,Doris Lessing,The Good Terrorist,1985,,,
881.,Dec 2002,Viktor E. Frankl,Man's Search for Meaning,1959,,,
882.,Dec 2002,Harold Nicolson,Good Behavior ,1955,,true,
883.,Jan 2003,"Lucien Febvr, Henri-Jean Martin",Good Behavior,1958,,,
884.,Feb 2003,Arthure Levitt,Take on the Street,2002,,,
885.,Feb 2003,Charles Bukowski,Post Office ,1971,,true,
886.,Mar 2003,Jose Saramago,The Cove ,2002,,,
887.,Apr 2003,Susan Mollin Okin,Women in Western Political Thought,1979,,,
888.,Apr 2003,DBC Pierre,Veron God Little,2003,,,
889.,May 2003,Mary Renault,The Persian Boy,1972,,,
890.,May 2003,Charles Bukowski,Hollywood,1989,,,
891.,May 2003,John Lowden,Early Christian & Byzantine Art,1997,,,
892.,Jun 2003,Natalie Angier,Woman - An Intimate Geography,1999,,,
893.,Jul 2003,Gregory Bishop of Tours,History of the Franks,584,,,
894.,Jul 2003,Paul Berman,Terror and Liberalism,2003,,,
895.,Jul 2003,Mary McCarthy,The Groves of Academe,1951,,,
896.,Jul 2003,Henry Kissinger,Does America Need a Foreign Policy,2001,,,
897.,Jul 2003,James Lord,A Giacometti Portrait,1965,,,
898.,Jul 2003,Karen Armstrong,Budda,2001,,,
899.,Aug 2003,Karen Armstrong,Islam,2000,,,
900.,Oct 2003,George Eliot,Adam Bede,1859,,,
901.,Nov 2003,"Daisaku Ikeda, Majid Tehranian",Global Civilization - A Buddist Islanic Dialogue,2003,,,
902.,Nov 2003,Graham Greenauthor,The Third Man,1950,,,
903.,Jan 2004,Robert A. Caro,The Years of Lyndon Johnson - Master of the Senate,2002,,,
904.,Jan 2004,Horace Mann,The Republic and the School,1837-48,,,
905.,Jan 2004,Edmund S. Morgan,Benjamin Franklin,2002,,,
906.,Feb 2004,intro Claude Mettra,Bruegel,1977,,,
907.,Feb 2004,J. M. Coetzee,Waiting for the Barbarians,1980,,,
908.,Feb 2004,Dan Brown,The Da Vinci Code,2003,,,
909.,Feb 2004,Gustave Flaubert,Memoirs of a Madman,1837,,,
910.,Feb 2004,Aristophanes,"The Acharnians, ""The Clouds"", ""Lysistrata""","425 BC, 423 BC, 410 BC",,,
911.,Mar 2004,Tacey Chevalier,Girl With a Pearl Earing,1999,,,
912.,Apr 2004,Harold Bloom,The Western Canon,1994,,,
913.,May 2004,Walter Pater,The Renaissance,1873,,,
914.,May 2004,William Pollack,Real Boys,1998,,,
915.,May 2004,Aesop,The Complete Fables,c.550 BC,,,
916.,Jun 2004,Juvenal,The Satires,110-130 AD,,,
917.,Jun 2004,Groucho Marx,Love Groucho,1938-55,,,
918.,Jul 2004,G.K. Chesterton,The Man Who Was Thursday,1908,,,
919.,Aug 2004,John Kennedy Toole,A Confederacy of Dunces,1963,,,
920.,Aug 2004,Harold Mattingly,Roman Imerial Civilization,1957,,,
921.,Aug 2004,Molly Hughes,A London Girl of the 1880's,1946,,,
922.,Sep 2004,Nick Hornby,How To Be Good,2001,,,
923.,Sep 2004,John Bunyan,The Philgrim's Progress,1678-84,,,
924.,Sep 2004,Bill Moyer's,Moyers on America,2004,,,
925.,Sep 2004,Walt Whitman,Specimen Days,"1862-65, 1877-81",,,
926.,Sep 2004,Paulo Coelho,Eleven Minutes,2004,,,
927.,Oct 2004,John Boswell,"Christianity, Social Torerance and Homosexuality",1980,,,
928.,2005,Lawrence Potter,The Persian Gulf in Transition ,1997,,,
929.,2005,Immanuel Kant,Perpetual Peace ,1795,,,
930.,2005,Bob Dylan,"Chronicles, vol. 1 ",2004,,,
931.,2005,Arthur Koestler,The Gladiators ,1949,,,
932.,2005,Richard L. Bushman,From Puritan to Yankee ,1967,,,
933.,2005,Arnold Toynbee,"A Study of History, vols I-VI ",1939,,,
934.,2005,Bill McKibben,The End of Nature ,1989,,,
935.,2005,Craig Unger,"House of Bush, House of Saudi ",2004,,,
936.,2005,"Tim LaHaye, Jerry B. Jenkins",Glorious Appearing ,2004,,,
937.,2005,Laurens Van der Post,A Story Like the Wind ,1972,,,
938.,2005,Marilynne Robinson,Gilead,2004,,,
939.,2005,Thomas Carlyle,The French Revolution ,1837,,,
940.,2005,Dalton Trumbo,Johnny Got His Gun,1939,,,
941.,2005,Claude-Anne Lopez,"Mon Cher Papa, Franklin and the Ladies of Paris ",1966,,,
942.,2005,Maureen Dowd,Bushworld,2004,,,
943.,2005,Anton Chekhov,My Life ,c.1886,,,
944.,2005,J.R. Hale,Renaissance Europe ,1971,,,
945.,2005,E.M. Forster,A Passage to India ,1924,,,
946.,2005,"Robert F. Kennedy, Jr.",Crimes Against Nature ,2004,,,
947.,2005,Jane Leavy,Sandy Koufax ,2003,,,
948.,2005,David McCullough,1776,2005,,,
950.,Jul 2005,Frank Norris,The Octopus ,1900,,,
951.,Jul.2005,Ann Rinaldi,Hang a Thousand Trees with Ribbons ,1996,,,
952.,Jul 2005,Herman Melville,Bartleby the Scrivener ,1853,,,
953.,Jul 2005,various,Chapters in Western Civilization vol II ,"1948, '54, '62",,,
954.,Aug 2005,edited by Tim De Lisle,Lives of the Great Songs ,1994,,,
955.,Aug 2005,Laurence Bergreen,As Thousands Cheer - The Life of Irving Berlin ,1990,,,
956.,Sep 2005,Anthony Trollope,The Way We Live Now ,1873,,,
957.,Sep 2005,Steve Martin,Shopgirl,2000,,,
958.,Sep 2005,Emile Zola,The Debacle ,1870,,,
959.,Oct 2005,Kenneth Henshall,A History of Japan ,1999,,,
960.,Nov 2005,Edmund Morris,The Rise of Theodore Roosevelt ,1979,,,
961.,Nov 2005,Henry Adams,The Education of Henry Adams ,1907,,,
962.,Nov 2005,Sonny Barger,Freedom: Credos from the Road ,2005,,,
963.,Nov 2006,Nathanael West,The Day of the Locust ,1939,,,
964.,Nov 2005,Ford Maddox Ford,The Good Soldier ,1915,,,
965.,Nov 2005,Mary Wollstonecraft,A Vindication of the Rights of Woman ,1792,,,
966.,Dec 2005,Edith Wharton,The Age of Innocence ,1920,,,
967.,Jan 2006,W. Somerset Maugham,Of Human Bondage ,1915,,,
